Number,Name,Artist ,BPM,BPM_3.0,TIME_3.0,BPM_4.0,TIME_4.0,BPM_5.0,TIME_5.0,BPM_6.0,TIME_6.0,BPM_7.0,TIME_7.0,BPM_9.0,TIME_9.0,BPM_10.0,TIME_10.0
1,Brain Implant (Cyberpunk Sci-Fi Trailer Action Intro),soundbay,100,100.0,9.682759523391724,100.0,8.130690813064575,100.0,8.126625776290894,100.0,7.897784233093262,100.0,7.858126878738403,100.0,7.8536057472229,100.0,7.868939638137817
2,Alone,BoDleasons,100,152.0,8.231976985931396,152.0,8.27693510055542,152.0,8.100069284439087,152.0,7.893793821334839,152.0,7.8610522747039795,152.0,7.8699424266815186,152.0,7.8367931842803955
3,Don’t Talk,Cosmonkey,120,60.0,8.138390302658081,60.0,8.132447004318237,60.0,7.900700092315674,60.0,7.866461515426636,60.0,7.871994972229004,60.0,7.862922430038452,60.0,7.854381322860718
4,Experimental Cinematic Hip-Hop,Rockot,143,142.0,8.260618925094604,142.0,8.135209321975708,142.0,7.896596193313599,142.0,7.89057993888855,142.0,7.915912866592407,142.0,7.8539183139801025,142.0,7.885022401809692
5,Future Design ,penguinmusic,120,121.0,8.366094827651978,121.0,8.121275186538696,121.0,7.8926756381988525,121.0,7.885233640670776,121.0,7.863636016845703,121.0,7.854193210601807,121.0,7.872438669204712
6,Gardens,Stylish Chill,105,105.0,8.249420166015625,105.0,8.125195503234863,105.0,7.869102478027344,105.0,7.986117362976074,105.0,7.861583948135376,105.0,7.862407684326172,105.0,7.877057075500488
7,Gorila,Alex_MakeMusic,105,105.0,9.666667938232422,105.0,9.653991460800171,105.0,9.33278203010559,105.0,9.475916385650635,105.0,9.299787521362305,105.0,9.269222259521484,105.0,9.282054662704468
8,Jungle Waves,DIMMYSAD,114,113.0,8.31084132194519,113.0,8.041986227035522,113.0,8.004301309585571,113.0,7.85715126991272,113.0,7.865299701690674,113.0,7.8569090366363525,113.0,7.8820226192474365
9,Kugelsicher,TremoxBeatz,123,185.0,9.942396640777588,185.0,9.424380779266357,185.0,9.321120500564575,185.0,9.300917863845825,185.0,9.247823238372803,185.0,9.273831844329834,185.0,9.30278468132019
10,So Freash,Cosmonkey,135,135.0,8.13562536239624,135.0,7.878618001937866,135.0,7.888274669647217,135.0,7.875384092330933,135.0,7.859896421432495,135.0,7.862962245941162,135.0,8.046690702438354
