Number,Name,Artist ,BPM,BPM_librosa,TIME_librosa,BPM_3.0,TIME_3.0,BPM_4.0,TIME_4.0,BPM_5.0,TIME_5.0,BPM_6.0,TIME_6.0,BPM_7.0,TIME_7.0,BPM_9.0,TIME_9.0,BPM_10.0,TIME_10.0
1,Brain Implant (Cyberpunk Sci-Fi Trailer Action Intro),soundbay,100,[99.38401442],2.975479364,100,8.298043489,100,8.326213837,100,8.279989243,100,8.290853739,100,8.466091871,100,9.109821558,100,8.294249535
2,Alone,BoDleasons,100,[151.99908088],0.219073057,149,8.344944239,149,8.424730301,149,8.337834835,149,8.308922768,149,8.364454746,149,8.394438028,149,8.284787178
3,Don't Talk,Cosmonkey,120,[172.265625],0.256009102,120,8.329753399,120,8.288485765,120,8.309805155,120,8.457936525,120,8.320534229,120,8.4319489,120,8.310627699
4,Experimental Cinematic Hip-Hop,Rockot,143,[143.5546875],0.315551519,141,8.310420513,141,8.309791088,141,8.283558369,141,8.380986452,141,8.326421738,141,8.343335152,141,8.28365469
5,Future Design ,penguinmusic,120,[117.45383523],0.178749561,122,8.285417318,122,8.293674469,122,8.310795546,122,8.344485998,122,8.499059677,122,8.325901747,122,8.277424097
6,Gardens,Stylish Chill,105,[52.734375],0.280173302,105,8.297811031,105,8.29471755,105,8.313159704,105,8.35160017,105,8.752577305,105,8.348454475,105,8.313869715
7,Gorila,Alex_MakeMusic,105,[161.49902344],0.279838562,158,9.59007144,158,9.60770154,158,9.626362801,158,10.25985026,158,10.50883555,158,9.827209711,158,9.585645437
8,Jungle Waves,DIMMYSAD,114,[112.34714674],0.299556971,113,8.301288128,113,8.307651758,113,8.316741943,113,8.791456223,113,9.320714474,113,8.301100731,113,8.289500237
9,Kugelsicher,TremoxBeatz,123,[184.5703125],0.379193306,182,9.606770992,182,9.615544319,182,9.625581026,182,10.16637063,182,10.93944716,182,9.582538128,182,9.586464643
10,So Freash,Cosmonkey,135,[135.99917763],0.225064993,136,8.278360367,136,8.289530754,136,8.306626081,136,8.621545792,136,9.453347921,136,8.298740864,136,8.276139736
